city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),bed_type,star,number_of_ratings
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Bliska 17 (A) by Homeprime,230,303,Oct 5 - 10,"1,150",1 bed,5.0,12
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,'Wynalazek 3' Fryderyk Apartments,216,575,Oct 8 - 13,"1,080",1 bed,4.71,31
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Warsaw Mokotow CzerniakowskaFlat,295,295,Oct 3 - 8,"1,471",2 double beds,New,New
"Warsaw, Poland",2023-10-02,Place to stay in Srodmiescia,Fantastic - Room M3 - 8,146,146,Oct 2 - 7,728,2 double beds,4.71,58
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Pulawska 54/56 by Homeprime,209,254,Oct 4 - 9,"1,043",1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,"20m2 Studio, near Chopin Airport, cozy and quite",230,230,Oct 2 - 7,"1,150",1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,WHITE metro WiFi 300Mbs 80'TV QLED Netflix HBO,294,395,Oct 2 - 7,"1,469",2 beds,4.57,154
"Warsaw, Poland",2023-10-02,Apartment in Ursus,SuperApart Herbu Oksza D MiniStudio,219,219,Oct 3 - 8,"1,091",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-02,Apartment in Wilanow,Royal Wilanow Stylish Apartament,262,262,Oct 2 - 7,"1,306",2 beds,4.42,12
"Warsaw, Poland",2023-10-02,Condo in Ursynow,Spacious flat next to Metro Kabaty.,227,253,Oct 3 - 8,"1,134",2 beds,4.56,32
"Warsaw, Poland",2023-10-02,Apartment in Wola,'Sienna 91' Fryderyk Apartment,214,467,Oct 3 - 8,"1,068",2 beds,4.78,40
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Letnia | Summertime Apartment,233,318,Oct 3 - 8,"1,165",2 beds,4.67,12
"Warsaw, Poland",2023-10-02,Apartment in Wola,'Sienna 91' Fryderyk Apartment,214,467,Oct 3 - 8,"1,068",2 beds,4.78,40
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Letnia | Summertime Apartment,233,318,Oct 3 - 8,"1,165",2 beds,4.67,12
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,"Pl. Hallera 1 bedroom apartment, Vilnius metro",241,241,Oct 3 - 8,"1,203",1 double bed,4.9,29
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Fryderyk Apartment 'Factory',299,374,Oct 18 - 23,"1,491",2 beds,4.75,106
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Cozy apartment near Lazienki Krolewskie!,165,165,Oct 7 - 12,822,1 king bed,4.79,63
"Warsaw, Poland",2023-10-02,Apartment in Wola,Sw. Stanislawa 1  by Homeprime,255,349,Oct 2 - 7,"1,273",2 beds,4.33,3
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Bagno 7/6 | Cinnamon Apartment,242,265,Oct 9 - 14,"1,210",1 double bed,4.6,50
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Super BEAUTY metro WiFi 65'TV Netflix HBO AppleTV+,298,298,Oct 2 - 7,"1,489",1 bed,5.0,29
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Cozy studio in Warsaw / Studio in Warsaw,198,198,Oct 15 - 20,987,1 bed,4.74,38
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Apartment Citadel,306,306,Oct 15 - 20,"1,526",1 double bed,4.89,72
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Cozy apartament with parking slot,305,305,Oct 2 - 7,"1,525",1 bed,4.91,23
"Warsaw, Poland",2023-10-02,Guesthouse in Wawer,Small house in green area,172,172,Oct 4 - 9,857,1 double bed,4.91,149
"Warsaw, Poland",2023-10-02,Apartment in Stara Praga,Thisway Targowa,266,266,Oct 9 - 14,"1,328",1 bed,5.0,10
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,ECRU Studio with Balcony,286,286,Oct 3 - 8,"1,426",1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Zoliborz,Cozy apartment in the heart of Old Zoliborz,352,352,Oct 2 - 7,"1,760",2 beds,4.96,69
"Warsaw, Poland",2023-10-02,Apartment in Wola,Dobiszewskiego 2 by Homeprime,261,318,Oct 2 - 7,"1,301",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,RED Centrum WiFi 500 Mb/s 2xMetro Netflix AmazonTV,323,376,Oct 2 - 7,"1,611",2 beds,4.62,184
"Warsaw, Poland",2023-10-02,Condo in Praga Polnoc, NEW! Beautiful Flat/Trendy Praga washer/dryer,294,294,Oct 3 - 8,"1,468",1 queen bed,4.79,29
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Dobiszewskiego 2 by Homeprime,261,318,Oct 2 - 7,"1,301",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,RED Centrum WiFi 500 Mb/s 2xMetro Netflix AmazonTV,323,376,Oct 2 - 7,"1,611",2 beds,4.62,184
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Wola Tower Warsaw Panorama+Garaz,267,267,Oct 14 - 19,"1,334",1 bed,4.91,11
"Warsaw, Poland",2023-10-02,Condo in Warszawa, NEW! Beautiful Flat/Trendy Praga washer/dryer,294,294,Oct 3 - 8,"1,468",1 queen bed,4.79,29
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Cutest studio with best location,197,197,Nov 4 - 9,985,2 beds,4.79,19
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Baza,200,200,Oct 21 - 26,998,2 beds,4.74,27
"Warsaw, Poland",2023-10-02,Room in Warszawa,Room N.7 'FA',146,231,Oct 5 - 10,728,2 beds,5.0,10
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,ADRIATYK studio,228,228,Oct 3 - 8,"1,138",1 bed,4.88,41
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Central apart  vis-vis Marriott,210,210,Oct 8 - 13,"1,049",1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,'Cool' Fryderyk Apartment,247,287,Oct 3 - 8,"1,232",1 sofa bed,4.68,123
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,White Marina Air-conditioned Apartment |  Mokotow,289,330,Oct 20 - 25,"1,445",3 beds,4.7,40
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Apartament Jana Kazimierza 32,254,304,Oct 3 - 8,"1,268",1 sofa bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Warszawa, Citycentre comfy newly renovated studio ,257,299,Oct 2 - 7,"1,285",1 bed,5.0,7
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Apartment Warszawa Bemowo next to METRO,202,245,Oct 3 - 8,"1,009",1 bed,New,New
"Warsaw, Poland",2023-10-02,Room in Warszawa,Room with a home atmosphere - Prague Poludnie,134,134,Oct 21 - 26,669,1 bed,4.91,92
"Warsaw, Poland",2023-10-02,Loft in Warszawa,Beautiful Studio in Warsaw close to Vistula River.,322,322,Oct 4 - 9,"1,608",2 beds,4.93,241
"Warsaw, Poland",2023-10-02,Room in Warsaw,Matress for another person availabl,143,143,Oct 7 - 12,714,2 beds,4.77,201
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Holiday 4 WiFi 600 Mbs 70'TV Netflix DisneyAppleTV,341,341,Oct 2 - 7,"1,701",1 bed,4.72,18
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Caly apartament przeworska,183,183,Oct 28 - Nov 2,915,3 beds,4.97,100
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Roomy apartment in the Center of Warsaw,236,269,Oct 3 - 8,"1,181",1 bed,4.79,153
"Warsaw, Poland",2023-10-02,Apartment in Wilanow,"Wilanow Comfort - (garage, air condition, Wi-Fi)",299,384,Oct 12 - 17,"1,494",2 beds,5.0,29
"Warsaw, Poland",2023-10-02,Apartment in Bielany,ShortStayPoland Marymoncka (B19),242,297,Oct 8 - 13,"1,210",1 double bed,4.79,14
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Brand New Business Apartament,302,302,Oct 3 - 8,"1,508",2 beds,4.88,17
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Loft apartment overlooking the Vistula River,300,300,Oct 22 - 27,"1,496",2 beds,5.0,3
"Warsaw, Poland",2023-10-02,Apartment in Ursynow,Warsaw Studio Kabaty - Home Office - Metro 300m,254,254,Oct 6 - 11,"1,268",1 sofa bed,4.5,4
"Warsaw, Poland",2023-10-02,Apartment in Wola,Apartment Warszawa Wola Jana Kazimierza 35,232,232,Oct 14 - 19,"1,157",1 sofa bed,4.9,10
"Warsaw, Poland",2023-10-02,Room in Srodmiescia,Fantastic - Room M3 - 1,129,129,Oct 8 - 13,642,1 sofa bed,4.63,46
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Flat in Goclaw,237,330,Oct 5 - 10,"1,185",1 double bed,4.74,80
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,City metro 1Gbs WiFi 75'TV Netflix HBO Disney+,288,288,Oct 8 - 13,"1,437",2 beds,4.93,29
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,ShortStayPoland Wilcza (B42),255,340,Oct 3 - 8,"1,271",1 sofa bed,4.77,26
"Warsaw, Poland",2023-10-02,Apartment in Bielany,Modern Apartment at Bielany Park and Hospital,262,262,Oct 8 - 13,"1,310",2 beds,4.92,26
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Bulwary Wislane Modern Apartment,321,321,Oct 2 - 7,"1,603",2 beds,4.77,22
"Warsaw, Poland",2023-10-02,Room in Mokotow,Private room near the airport - Mokotow,199,199,Oct 11 - 16,992,2 beds,5.0,95
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Enjoy the most Varsovian view in central apt,350,424,Oct 8 - 13,"1,747",2 beds,4.94,366
"Warsaw, Poland",2023-10-02,Apartment in Ursynow,Airport Residence Green 24h/ FV ,241,241,Oct 20 - 25,"1,203",1 double bed,4.91,391
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Waszyngtona 2B | Cashew Apartment,212,257,Oct 8 - 13,"1,060",1 double bed,4.38,16
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Waszyngtona 2B | Cashew Apartment,212,257,Oct 8 - 13,"1,060",1 double bed,4.38,16
"Warsaw, Poland",2023-10-02,Condo in Ursynow,Subway studio,137,137,Oct 8 - 13,683,1 double bed,4.37,95
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Warsaw Castle Apartments by Rentujemy,408,491,Oct 5 - 10,"2,036",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Bialoleka,Apartment Green next to Galeria Polnocna,328,328,Oct 10 - 15,"1,637",1 double bed,4.96,78
"Warsaw, Poland",2023-10-02,Place to stay in Wola,New metro line II elegant cozy room,138,138,Oct 7 - 12,688,1 bed,4.93,56
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Saska Modern Apartment blisko PGE,329,329,Oct 2 - 7,"1,643",1 bed,4.95,147
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,"Modern, elegant in the heart of Warsaw.",287,322,Oct 8 - 13,"1,433",2 beds,4.88,41
"Warsaw, Poland",2023-10-02,Apartment in Wlochy,CitySphere Premium Suite 3,261,295,Oct 18 - 23,"1,301",3 beds,4.71,7
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Aura Sky View,191,332,Oct 7 - 12,951,3 beds,4.42,57
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Zielony przystanek w Warszawie 2,235,285,Oct 30 - Nov 4,"1,174",1 bed,4.96,25
"Warsaw, Poland",2023-10-02,Room in Srodmiescia,Room N.8 'FA',162,235,Oct 4 - 9,810,1 bed,4.73,11
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Soho View Apartment 2,257,345,Oct 3 - 8,"1,285",3 beds,5.0,3
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Lukowska 5 by Homeprime,214,281,Oct 4 - 9,"1,070",1 bed,5.0,3
"Warsaw, Poland",2023-10-02,Apartment in Wola,Stylish Warsaw City View Apartment 4 Guests Wola,288,288,Oct 8 - 13,"1,437",2 beds,5.0,7
"Warsaw, Poland",2023-10-02,Apartment in Ursynow,Spacious Studio 4ppl Balcony,247,247,Oct 2 - 7,"1,232",1 bed,5.0,3
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Tamka 45A by Homeprime,220,338,Oct 8 - 13,"1,100",2 beds,4.5,6
"Warsaw, Poland",2023-10-02,Loft in Srodmiescia,21ST FLOOR LOFT! The best view in Central Warsaw!,370,370,Oct 20 - 25,"1,848",1 bed,4.66,110
"Warsaw, Poland",2023-10-02,Apartment in Wola,Wola Colourful Studio,287,287,Oct 2 - 7,"1,432",2 beds,4.67,3
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Cute Apartment perfect for business and travel.,255,255,Oct 3 - 8,"1,273",1 double bed,4.78,69
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,The most adorable studio in Warsaw,237,297,Oct 5 - 10,"1,183",2 beds,4.91,23
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,NOWA PRAGA/STARE MIASTRO/ METRO/PLAC HALLERA,279,279,Oct 8 - 13,"1,391",1 double bed,4.88,242
"Warsaw, Poland",2023-10-02,Guest suite in Bemowo,"Warszawa, Great Place, Free parking place",259,387,Oct 8 - 13,"1,291",2 beds,4.91,162
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Fryderyk Apartment 'Annie',210,210,Oct 3 - 8,"1,050",1 bed,5.0,4
"Warsaw, Poland",2023-10-02,Condo in Mokotow,BUSINESS STUDIOAMAZING STANDARDSUNNYOWN BALCONY,288,318,Oct 2 - 7,"1,436",1 double bed,4.82,67
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Home you will love - in the green heart of Warsaw,381,479,Oct 8 - 13,"1,901",2 beds,4.8,54
"Warsaw, Poland",2023-10-02,Apartment in Wola,Ogrodowa | Lime Apartment,283,316,Oct 9 - 14,"1,415",2 beds,4.73,74
"Warsaw, Poland",2023-10-02,Apartment in Wola,Nice flat -studio good location,215,292,Oct 6 - 11,"1,075",1 bed,4.68,19
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Comfortable studio by the park,223,223,Oct 9 - 16,"1,561",1 bed,4.96,27
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Bluszczanska 74 by Homeprime,247,308,Oct 2 - 7,"1,233",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Ursus,Family Flat no.77,266,293,Oct 4 - 9,"1,326",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,cozy studio- 10 min to the old town,282,282,Oct 8 - 13,"1,408",1 bed,4.83,130
"Warsaw, Poland",2023-10-02,Apartment in Bielany,"Beautiful Studio for 3 Guests, Parking, Bielany",283,283,Oct 2 - 7,"1,411",2 beds,4.92,12
"Warsaw, Poland",2023-10-02,Apartment in Wola,"Cozy apartment, Jana Kazimierza 48",291,291,Oct 2 - 7,"1,451",1 sofa bed,4.56,36
"Warsaw, Poland",2023-10-02,Apartment in Bemowo,New Metro Bemovo apartment,288,360,Oct 15 - 20,"1,436",2 beds,4.97,30
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Studio - WaW city center,253,318,Oct 8 - 13,"1,262",1 bed,5.0,14
"Warsaw, Poland",2023-10-02,Apartment in Wola, Central Newly Renovated Designer Studio w/Washer,252,287,Oct 2 - 7,"1,260",1 sofa bed,4.78,23
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Studio - WaW city center,253,318,Oct 8 - 13,"1,262",1 bed,5.0,14
"Warsaw, Poland",2023-10-02,Apartment in Wola, Central Newly Renovated Designer Studio w/Washer,252,287,Oct 2 - 7,"1,260",1 sofa bed,4.78,23
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,SAWA 4 metro WiFi 600 Mbs 65'TV Netflix HBO Disney,295,295,Oct 15 - 20,"1,474",1 bed,4.85,34
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,High Standard close to the Center/Free Parking.,297,339,Oct 8 - 13,"1,482",1 double bed,4.71,239
"Warsaw, Poland",2023-10-02,Apartment in Wola,K&K Apartament blisko Centrum / Near City Center,441,537,Oct 2 - 7,"2,201",2 beds,4.93,72
"Warsaw, Poland",2023-10-02,Apartment in Zoliborz,Elblaska Modern Studio,238,238,Oct 5 - 10,"1,190",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Zoliborz,Metro Slodowiec (B) Sichuan Perfect Apart,229,229,Oct 9 - 14,"1,145",2 beds,4.33,6
"Warsaw, Poland",2023-10-02,Condo in Praga Polnoc,Zen Garden // artsy studio in Praga district,247,247,Oct 3 - 8,"1,232",2 beds,5.0,27
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,TOP location - Studio in City center,270,315,Oct 8 - 13,"1,350",2 beds,4.69,465
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,High Standard with Palace of Culture view,307,335,Oct 9 - 14,"1,532",2 beds,4.19,200
"Warsaw, Poland",2023-10-02,Room in Ursus,KK Spot,118,118,Oct 8 - 13,587,2 beds,5.0,13
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,SuperApart Batorego 33/B,238,238,Oct 8 - 13,"1,187",1 bed,5.0,3
"Warsaw, Poland",2023-10-02,Room in Srodmiescia,Fantastic Apartments - Room - K2,129,129,Oct 22 - 27,641,1 bed,4.66,62
"Warsaw, Poland",2023-10-02,Apartment in Wawer,Apartment by the forest,223,223,Oct 15 - 20,"1,115",2 beds,5.0,5
"Warsaw, Poland",2023-10-02,Apartment in Praga Poludnie,Rondo Wiatraczna Comfort Studio,246,246,Oct 4 - 9,"1,229",2 beds,4.67,3
"Warsaw, Poland",2023-10-02,Apartment in Stara Praga,ECRU Port Praski Stylish Apartment,315,397,Oct 7 - 12,"1,573",2 beds,5.0,7
"Warsaw, Poland",2023-10-02,Apartment in Wola,"Apartment Wola - SELF CHECK-IN, WiFi, Garage, TV",230,293,Oct 7 - 12,"1,150",1 double bed,4.74,98
"Warsaw, Poland",2023-10-02,Room in Wlochy,A brand new room with balcony near Chopin airport.,150,150,Oct 25 - 30,750,1 double bed,4.97,561
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,"Apartment Wola - SELF CHECK-IN, WiFi, Garage, TV",230,293,Oct 7 - 12,"1,150",1 double bed,4.74,98
"Warsaw, Poland",2023-10-02,Room in Warszawa,A brand new room with balcony near Chopin airport.,150,150,Oct 25 - 30,750,1 double bed,4.97,561
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Dabrowskiego 82G by Homeprime,239,316,Oct 2 - 7,"1,194",2 beds,4.35,17
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Fryderyk Apartment 'Anielewicza',207,317,Oct 4 - 9,"1,033",1 bed,4.19,32
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Wola Kolo Blue Apartment,274,274,Oct 3 - 8,"1,367",2 beds,New,New
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Stylowy apartament Bonifacego,368,368,Oct 3 - 8,"1,837",3 beds,4.8,79
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,City Center - one-bedroom apart,270,315,Oct 8 - 13,"1,350",1 double bed,5.0,18
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Cozy studio in the heart of Moko! Business/Travel!,267,294,Oct 3 - 8,"1,332",1 bed,4.78,18
"Warsaw, Poland",2023-10-02,Room in Warszawa,Fantastic Apartments - Room - K3,126,126,Nov 1 - 6,628,1 bed,4.56,45
"Warsaw, Poland",2023-10-02,Apartment in Warsaw,Aparthotel Pawia Deluxe,268,268,Oct 2 - 7,"1,337",1 double bed,4.79,108
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Apartment with rooftop pool and two saunas,"1,007","1,181",Oct 3 - 8,"5,035",1 double bed,4.91,56
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Jasna Studio,251,251,Oct 15 - 20,"1,253",1 sofa bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Spacious apartment in Warsaw FV,287,359,Oct 5 - 10,"1,434",2 beds,4.5,6
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Ingenious Wilanow Oasis Apartment,345,345,Oct 3 - 8,"1,723",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Green Warsaw Wille Klasykow,298,298,Oct 9 - 14,"1,487",1 double bed,4.96,26
"Warsaw, Poland",2023-10-02,Room in Warszawa,Cozy room,94,94,Oct 15 - 20,469,1 double bed,5.0,5
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,YourSecondFlat ul.Grzybowska 85a/114 klimatyzacja,439,634,Oct 3 - 8,"2,195",1 double bed,4.78,172
