city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),bed_type,star,number_of_ratings
"Warsaw, Poland",2023-10-03,Apartment in Wola, Citycentre comfy newly renovated studio ,257,299,Oct 7 - 12,"1,285",1 bed,5.0,7
"Warsaw, Poland",2023-10-03,Apartment in Wlochy,'Wiki 2.0' Fryderyk Apartment,198,335,Oct 5 - 10,986,1 bed,4.57,14
"Warsaw, Poland",2023-10-03,Room in Srodmiescia,Fantastic - O13 Room D,127,127,Oct 8 - 13,634,1 bed,4.68,19
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Super BEAUTY metro WiFi 65'TV Netflix HBO AppleTV+,289,322,Oct 3 - 8,"1,442",1 bed,5.0,29
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Decor metro WiFi 300 Mb/s 55'TV Netflix HBO,272,318,Oct 3 - 8,"1,358",2 beds,4.61,95
"Warsaw, Poland",2023-10-03,Apartment in Zoliborz,Cozy apartment in the heart of Old Zoliborz,317,365,Oct 3 - 8,"1,584",2 beds,4.96,69
"Warsaw, Poland",2023-10-03,Apartment in Targowek,Red Spacious Apartment,267,267,Oct 3 - 8,"1,334",2 beds,5.0,14
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Peaceful studio by Okecie,229,229,Oct 3 - 8,"1,144",1 bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Sunny Mokotow - apartment near the metro,304,304,Oct 3 - 8,"1,520",1 double bed,4.96,251
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Electoral 19(B) by Homeprime,190,230,Oct 6 - 11,950,1 bed,New,New
"Warsaw, Poland",2023-10-03,Place to stay in Srodmiescia,Fantastic - W8 Room C,128,128,Oct 15 - 20,636,1 bed,4.65,23
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Cool_Life Apartment,241,296,Oct 14 - 19,"1,203",1 bed,4.9,49
"Warsaw, Poland",2023-10-03,Apartment in Wola,Air-conditioned Studio with Balcony - for 2 people,265,265,Oct 3 - 8,"1,325",1 double bed,4.38,40
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Metro Pole Mokotowskie Batorego,132,161,Oct 9 - 15,791,1 bed,New,New
"Warsaw, Poland",2023-10-03,Condo in Ursynow,"Studio near the airport, right on the subway.",144,144,Oct 8 - 13,716,1 double bed,4.63,75
"Warsaw, Poland",2023-10-03,Apartment in Praga Polnoc,Letnia | Summertime Apartment,228,316,Oct 3 - 8,"1,140",2 beds,4.67,12
"Warsaw, Poland",2023-10-03,Apartment in Praga Poludnie,Zielony przystanek w Warszawie 2,235,285,Oct 30 - Nov 4,"1,174",1 bed,4.96,25
"Warsaw, Poland",2023-10-03,Condo in Mokotow,BUSINESS STUDIOAMAZING STANDARDSUNNYOWN BALCONY,279,317,Oct 3 - 8,"1,392",1 double bed,4.82,67
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Quiet Apt. next to POLIN museum. Fast wifi / TV,287,311,Oct 3 - 8,"1,432",2 beds,5.0,3
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,SAWA 4 metro WiFi 600 Mbs 65'TV Netflix HBO Disney,271,271,Oct 15 - 20,"1,353",1 bed,4.85,34
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Nowy Swiat Black&White Studio,320,396,Oct 8 - 13,"1,596",2 beds,4.83,307
"Warsaw, Poland",2023-10-03,Apartment in Wola,Kasprzaka 29 Perfect Apart (S),219,219,Oct 4 - 9,"1,092",1 bed,5.0,4
"Warsaw, Poland",2023-10-03,Apartment in Wola,Modern Apartment with garage in Center location,270,303,Oct 9 - 14,"1,350",1 double bed,4.98,53
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Neon 3 metro WiFi TV'85 Netflix HBO Disney+,270,270,Oct 8 - 13,"1,347",1 bed,4.2,10
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Modern Apartment with garage in Center location,270,303,Oct 9 - 14,"1,350",1 double bed,4.98,53
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Neon 3 metro WiFi TV'85 Netflix HBO Disney+,270,270,Oct 8 - 13,"1,347",1 bed,4.2,10
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Apartament JK 32,252,302,Oct 3 - 8,"1,256",2 sofa beds,New,New
"Warsaw, Poland",2023-10-03,Condo in Warszawa,"AC, New Deluxe Studio Subway Slodowiec",284,284,Oct 3 - 8,"1,417",1 bed,4.88,8
"Warsaw, Poland",2023-10-03,Condo in Warszawa,BUSINESS STUDIOAMAZING STANDARDSUNNYOWN BALCONY,279,317,Oct 3 - 8,"1,392",1 double bed,4.82,67
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,WHITE metro WiFi 300Mbs 80'TV QLED Netflix HBO,283,402,Oct 11 - 16,"1,412",2 beds,4.57,154
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Kasprzaka 29 Perfect Apart (S),219,219,Oct 4 - 9,"1,092",1 bed,5.0,4
"Warsaw, Poland",2023-10-03,Treehouse in Warszawa,Treehouses in Warsaw - My Tree Home/ VILLA,971,"1,078",Oct 8 - 13,"4,851",1 double bed,4.92,24
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,small beauty place,228,264,Oct 3 - 8,"1,140",1 bed,5.0,7
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,New HALA WiFi 70'TV Netflix HBO Max AppletTV+,262,334,Oct 3 - 8,"1,306",1 queen bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Polna 3 Warsaw Central Studio,243,243,Oct 15 - 20,"1,212",1 bed,4.88,33
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,RED Centrum WiFi 500 Mb/s 2xMetro Netflix AmazonTV,349,349,Oct 3 - 8,"1,743",2 beds,4.62,184
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,K&K Apartament blisko Centrum / Near City Center,438,482,Oct 3 - 8,"2,189",2 beds,4.93,72
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Warsaw Vintage Apartment,259,259,Oct 3 - 8,"1,293",2 beds,4.83,12
"Warsaw, Poland",2023-10-03,Hostel in Warszawa,#3 Cozy Rondo Private Room ,145,173,Oct 6 - 11,721,2 beds,4.92,71
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Kasprowicza | Pomegranate Apartment,284,284,Oct 15 - 20,"1,420",1 bed,4.56,27
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,spacious flat with amazing view - fast wifi,269,380,Oct 3 - 8,"1,344",1 bed,4.95,22
"Warsaw, Poland",2023-10-03,Room in Pruszkow,cozy little room,105,105,Oct 8 - 13,522,1 bed,5.0,22
"Warsaw, Poland",2023-10-03,Apartment in Wola,Cozy studio in Zolibor,275,275,Oct 14 - 19,"1,373",2 beds,4.98,42
"Warsaw, Poland",2023-10-03,Apartment in Wola,Premium Apartment Browary W-skie,432,432,Oct 27 - Nov 1,"2,160",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Praga Poludnie,Apartment in the heart of Saska Kepa,240,272,Oct 16 - 21,"1,196",2 beds,4.89,56
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Wilanowska 10 by Homeprime,230,330,Oct 3 - 8,"1,146",1 bed,4.5,4
"Warsaw, Poland",2023-10-03,Apartment in Bialoleka,Comfort apartment with parking,111,111,Oct 7 - 12,555,1 bed,3.33,3
"Warsaw, Poland",2023-10-03,Condo in Praga Polnoc, NEW! Beautiful Flat/Trendy Praga washer/dryer,294,294,Oct 3 - 8,"1,469",1 queen bed,4.79,29
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,STUDIO Old Town Lovers,240,260,Oct 23 - 28,"1,196",1 bed,4.64,50
"Warsaw, Poland",2023-10-03,Apartment in Bemowo,Apartament Bemowo close meters,220,220,Oct 29 - Nov 3,"1,097",1 bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Zoliborz,"Modern, spacious apartment with garage and balcony",288,329,Oct 7 - 12,"1,437",1 double bed,4.69,13
"Warsaw, Poland",2023-10-03,Apartment in Wola,Holiday 4 WiFi 600 Mbs 70'TV Netflix DisneyAppleTV,329,361,Oct 3 - 8,"1,645",1 bed,4.72,18
"Warsaw, Poland",2023-10-03,Room in Srodmiescia,Fantastic - KP67 Room A,115,115,Oct 23 - 28,575,1 bed,4.36,22
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Brand New Business Apartament,302,302,Oct 3 - 8,"1,508",2 beds,4.88,17
"Warsaw, Poland",2023-10-03,Apartment in Wola,Wola Blue Luxury Apartment,330,330,Oct 3 - 8,"1,646",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Wola,Business Stay Studio | Parking | Balkon | A/C,341,341,Oct 3 - 8,"1,705",1 sofa bed,4.75,20
"Warsaw, Poland",2023-10-03,Apartment in Wola,Apartment with rooftop pool and two saunas,"1,007","1,183",Oct 4 - 9,"5,035",1 double bed,4.91,56
"Warsaw, Poland",2023-10-03,Room in Srodmiescia,Fantastic - J7 Room C,116,116,Oct 16 - 21,577,1 double bed,4.66,41
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Pole Mokotowskie Stones Studio,196,196,Oct 5 - 10,979,1 sofa bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Wola,Westfield Arkadia  Balcony with view + Netflix ,283,283,Oct 3 - 8,"1,412",2 beds,4.58,12
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Pole Mokotowskie Stones Studio,196,196,Oct 5 - 10,979,1 sofa bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Westfield Arkadia  Balcony with view + Netflix ,283,283,Oct 3 - 8,"1,412",2 beds,4.58,12
"Warsaw, Poland",2023-10-03,Condo in Warszawa,New! Designed Flat/Stylish Praga/Steps to Subway,307,307,Oct 3 - 8,"1,533",1 bed,4.82,17
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Central apart  vis-vis Marriott,210,210,Oct 8 - 13,"1,049",1 bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Rydygiera 18 (A) by Homeprime,287,342,Oct 22 - 27,"1,434",2 beds,4.54,26
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,ADRIATYK studio,223,223,Oct 4 - 9,"1,115",1 bed,4.88,41
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Okopowa Joyful Apartment,286,286,Oct 3 - 8,"1,428",3 beds,4.6,5
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Warsaw Comfort 204,327,327,Oct 3 - 8,"1,634",2 beds,New,New
"Warsaw, Poland",2023-10-03,Guesthouse in Warszawa,Small house in green area,172,172,Oct 11 - 16,857,1 double bed,4.91,149
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Cozy apartment, Jana Kazimierza 48",297,297,Oct 3 - 8,"1,485",1 sofa bed,4.56,36
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Marco's Place,328,328,Oct 7 - 12,"1,637",1 bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Saska Modern Apartment blisko PGE,310,310,Oct 8 - 13,"1,549",1 bed,4.95,147
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Afrykanska 14F by Homeprime,219,317,Oct 9 - 14,"1,095",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Cozy apartment,216,343,Oct 3 - 8,"1,076",1 bed,5.0,7
"Warsaw, Poland",2023-10-03,Apartment in Opacz Mala,Sunny apartment near Warsaw Chopin plent of nature,224,224,Oct 23 - 28,"1,120",2 double beds,4.93,180
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Entire apartment, 2 rooms, parking space",173,208,Oct 14 - 19,863,2 beds,4.88,16
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,ORANGE 2xMetro WiFi 500Mb/s 50'TV Netflix HBO,279,318,Oct 3 - 8,"1,393",2 beds,4.44,85
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Vibrant studio in the heart of Prague,325,325,Oct 3 - 8,"1,624",2 beds,5.0,18
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Afrykanska 14F by Homeprime,219,317,Oct 9 - 14,"1,095",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Cozy apartment,216,343,Oct 3 - 8,"1,076",1 bed,5.0,7
"Warsaw, Poland",2023-10-03,Apartment in Opacz Mala,Sunny apartment near Warsaw Chopin plent of nature,224,224,Oct 23 - 28,"1,120",2 double beds,4.93,180
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Entire apartment, 2 rooms, parking space",173,208,Oct 14 - 19,863,2 beds,4.88,16
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,ORANGE 2xMetro WiFi 500Mb/s 50'TV Netflix HBO,279,318,Oct 3 - 8,"1,393",2 beds,4.44,85
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Dobiszewskiego 2 by Homeprime,257,326,Oct 3 - 8,"1,282",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Hoza 62 Comfort Studio,264,264,Oct 4 - 9,"1,319",1 sofa bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Spacious apartment in Warsaw FV,244,305,Oct 5 - 10,"1,220",2 beds,4.5,6
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Comfortable flat next to park and center of Warsaw,216,247,Oct 3 - 8,"1,077",2 beds,4.6,5
"Warsaw, Poland",2023-10-03,Place to stay in Warsaw,Studio 26m2 in City Center,259,346,Oct 10 - 15,"1,292",1 double bed,4.9,148
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,APARTEL Plac Unii Lubelskiej Studio A,312,379,Oct 3 - 8,"1,558",1 bed,4.79,61
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Palace 3 WiFi 65'TV Netflix HBO Disney+ AppleTV+,263,291,Oct 7 - 12,"1,314",1 bed,4.7,30
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Fryderyk Apartment 'Factory',299,374,Oct 18 - 23,"1,491",2 beds,4.75,106
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Grochowska 282 by Homeprime,203,279,Oct 6 - 11,"1,011",1 sofa bed,4.43,23
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Warsaw Mokotow CzerniakowskaFlat,295,295,Oct 4 - 9,"1,471",2 double beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,APARTEL Plac Unii Lubelskiej Studio C,312,379,Oct 3 - 8,"1,558",1 queen bed,4.83,96
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Two room apartment in a prestigious location,210,210,Oct 6 - 11,"1,050",2 beds,4.87,23
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Airport Residence Green 24h/ FV ,238,238,Oct 26 - 31,"1,187",1 double bed,4.91,391
"Warsaw, Poland",2023-10-03,Room in Warszawa,Cozy subway room near the airport.,93,93,Oct 8 - 13,464,1 double bed,4.55,107
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,EAGLE HOUSE - A COSY FLAT IN THE CITY C.Orla 6.23,150,350,Oct 10 - 16,900,1 bed,4.23,39
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"3 bedroom, bright apartment in Bielany",219,219,Oct 9 - 14,"1,095",2 beds,5.0,10
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Beautiful Studio for 3 Guests, Parking, Bielany",314,314,Oct 3 - 8,"1,568",2 beds,4.92,12
"Warsaw, Poland",2023-10-03,Condo in Warszawa,BRILLIANT POSITIVE NEW 1 BEDROOM APARTMENT,341,387,Oct 3 - 8,"1,705",1 double bed,4.86,28
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Modern, elegant in the heart of Warsaw.",287,322,Oct 8 - 13,"1,433",2 beds,4.88,41
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Beautiful Apartment Kasprzaka 29 | Parking,396,396,Oct 3 - 8,"1,976",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,AirCondition GREEN 2x metro WiFi 600 Mb/s Netflix,273,273,Oct 8 - 13,"1,361",4 beds,4.46,119
"Warsaw, Poland",2023-10-03,Apartment in Warsaw,Twarda City Apartment B,212,306,Oct 9 - 14,"1,056",1 bed,4.72,25
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Dabrowskiego 82G by Homeprime,233,324,Oct 3 - 8,"1,163",2 beds,4.39,18
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Metro Mlociny Wiktoria Apartment,243,243,Oct 6 - 11,"1,215",2 beds,4.0,6
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Bliska 17 (A) by Homeprime,216,284,Oct 8 - 13,"1,079",1 bed,5.0,12
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Cozy apartment next to subway,327,354,Oct 10 - 15,"1,631",2 beds,5.0,26
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Comfortable 2-room apartment,295,295,Oct 4 - 9,"1,473",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warsaw,Airport Residence Gold 24h/ FV ,233,233,Oct 31 - Nov 5,"1,165",1 double bed,4.88,249
"Warsaw, Poland",2023-10-03,Apartment in Warsaw,Aparthotel Pawia Deluxe,290,290,Oct 13 - 18,"1,449",1 double bed,4.79,108
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Old Praga Garden Apartment,256,256,Oct 4 - 9,"1,277",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Bialobrzeska | Olive Apartment,274,347,Oct 7 - 12,"1,370",1 bed,4.91,23
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Bliska 17 (A) by Homeprime,216,284,Oct 8 - 13,"1,079",1 bed,5.0,12
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Cozy apartment next to subway,327,354,Oct 10 - 15,"1,631",2 beds,5.0,26
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Comfortable 2-room apartment,295,295,Oct 4 - 9,"1,473",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warsaw,Airport Residence Gold 24h/ FV ,233,233,Oct 31 - Nov 5,"1,165",1 double bed,4.88,249
"Warsaw, Poland",2023-10-03,Apartment in Warsaw,Aparthotel Pawia Deluxe,290,290,Oct 13 - 18,"1,449",1 double bed,4.79,108
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Old Praga Garden Apartment,256,256,Oct 4 - 9,"1,277",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Bialobrzeska | Olive Apartment,274,347,Oct 7 - 12,"1,370",1 bed,4.91,23
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Loft apartment overlooking the Vistula River,300,300,Oct 22 - 27,"1,496",2 beds,5.0,4
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Warsaw City Centre Apartment,252,279,Oct 13 - 18,"1,256",1 double bed,4.82,401
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Bednarska Old Town Unique Apartament,297,297,Oct 3 - 8,"1,484",1 queen bed,4.66,41
"Warsaw, Poland",2023-10-03,Guest suite in Warszawa,Small studio in a great spot of Old Zoliborz,237,237,Oct 6 - 11,"1,185",1 double bed,4.8,84
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Citycenter newly renowated Designer Studio,283,283,Oct 8 - 13,"1,413",1 bed,5.0,8
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Modern studio apartment>>> Nowoczesna kawalerka !!,172,212,Oct 8 - 13,857,1 bed,4.31,85
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Airport Apartment Warszawa,269,269,Oct 8 - 13,"1,344",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Superior 2 pokoje Ochota! Parking! Recepcja24h.,259,380,Oct 7 - 12,"1,295",4 beds,4.78,489
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Spacious Studio 4ppl Balcony,240,299,Oct 3 - 8,"1,197",1 bed,5.0,3
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Slow_Life Apartment Next to Metro Station,231,289,Oct 12 - 17,"1,152",1 bed,4.92,142
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Mieszkanie Sady-Flat. Wi-Fi free,285,285,Oct 3 - 8,"1,425",2 beds,4.72,76
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Peaceful Apartment / Koszyki / Lviv,469,469,Oct 8 - 13,"2,341",2 beds,4.91,247
"Warsaw, Poland",2023-10-03,Apartment in Praga Polnoc,Cozy apartament with parking slot,305,305,Oct 3 - 8,"1,525",1 bed,4.91,23
"Warsaw, Poland",2023-10-03,Apartment in Wola,Apartment Warszawa Wola Jana Kazimierza 35,232,232,Oct 14 - 19,"1,156",1 bed,4.9,10
"Warsaw, Poland",2023-10-03,Apartment in Ursynow, Airport Residence Topaz 24h/FV,276,276,Oct 11 - 16,"1,377",1 double bed,4.93,238
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,GOLD Centrum 2xMetro WiFi 600 Mb/s Netflix HBO,262,262,Oct 8 - 13,"1,306",1 double bed,4.49,68
"Warsaw, Poland",2023-10-03,Apartment in Mokotow,Bluszczanska 74 by Homeprime,238,308,Oct 3 - 8,"1,186",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Praga Poludnie,Aura Sky View,207,335,Oct 9 - 14,"1,033",3 beds,4.42,57
"Warsaw, Poland",2023-10-03,Apartment in Wola,Mennica Residence Prestige   A/C   With balcony,497,497,Oct 3 - 8,"2,481",2 beds,4.69,13
"Warsaw, Poland",2023-10-03,Apartment in Bielany,Metro Bielany Studio with Parking,293,293,Oct 4 - 9,"1,461",2 beds,4.83,12
"Warsaw, Poland",2023-10-03,Apartment in Wola,Wola Colourful Studio,309,309,Oct 3 - 8,"1,541",2 beds,4.67,3
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Cutest studio with best location,197,197,Nov 4 - 9,985,2 beds,4.79,19
"Warsaw, Poland",2023-10-03,Apartment in Wola,Apartamenty w centrum Warszawy,186,218,Oct 3 - 8,927,1 bed,New,New
"Warsaw, Poland",2023-10-03,Apartment in Praga Poludnie,Soho View Apartment 2,279,329,Oct 9 - 14,"1,395",3 beds,5.0,3
"Warsaw, Poland",2023-10-03,Apartment in Wola,Chlodna Square Studio,294,294,Oct 3 - 8,"1,468",2 beds,4.61,23
"Warsaw, Poland",2023-10-03,Apartment in Wola,'Kasprzaka' Fryderyk Apartment,247,465,Oct 8 - 13,"1,232",1 bed,4.77,22
"Warsaw, Poland",2023-10-03,Apartment in Bialoleka,Nova Sfera Green Apartment,298,298,Oct 3 - 8,"1,486",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Comfortable Old Town Apartment,308,308,Oct 3 - 8,"1,537",1 double bed,4.67,39
"Warsaw, Poland",2023-10-03,Aparthotel in Wlochy,2-person apartment | Villa Okucie 1936,316,316,Oct 3 - 8,"1,579",1 bed,4.81,119
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Apartament Suchecka - Stara Ochota,277,303,Oct 4 - 9,"1,385",1 double bed,4.88,121
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Grzybowska 16 Studio Flat Warsaw,233,233,Oct 23 - 28,"1,162",2 beds,New,New
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Quiet, modern, comfortable at Galeria Mokotow",270,270,Oct 8 - 13,"1,350",1 double bed,4.74,108
"Warsaw, Poland",2023-10-03,Hotel room in Warszawa,Apartment4you Kolejowa Select Studio,359,427,Oct 7 - 12,"1,792",1 double bed,4.6,200
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Central Co-working River view,237,237,Oct 4 - 10,"1,421",1 bed,5.0,3
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Independent cosy apartment in Mokotow,294,294,Oct 5 - 10,"1,467",1 bed,4.87,47
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Labo Apartment Metro Pole Mokotowskie,272,272,Oct 3 - 8,"1,358",3 single beds,4.8,5
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Zen Studio / Plac Zbawiciela / Quiet,469,469,Oct 16 - 21,"2,345",1 king bed,4.88,363
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,ShortStayPoland Silicia (B102),247,416,Oct 4 - 9,"1,231",2 beds,4.0,4
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,Avocado Apartment - 2 rooms in the City Center,300,351,Oct 3 - 8,"1,500",3 beds,4.75,116
"Warsaw, Poland",2023-10-03,Loft in Warszawa,21ST FLOOR LOFT! The best view in Central Warsaw!,370,370,Nov 4 - 9,"1,848",1 bed,4.66,110
"Warsaw, Poland",2023-10-03,Room in Warsaw,Big room with bathroom on the floor,112,112,Oct 8 - 13,557,1 bed,4.97,61
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,"Constitution Square 4, Downtown",355,476,Oct 4 - 9,"1,773",2 beds,4.87,69
"Warsaw, Poland",2023-10-03,Apartment in Warszawa,ROMA Apartment Studio Top Centrum Station AC,299,299,Oct 30 - Nov 4,"1,494",1 double bed,4.82,260
